Ingress Name,Namespace,Component,Instance,Hostname,Host (FQDN),Backend Service,Backend Port,TLS Secret,Purpose,Age
ai-gateway-gateway,apic,gateway,ai-gateway,ai-rgw-apic,ai-rgw-apic.demo01.mea-presales.org,ai-gateway-datapower,9443,ai-gateway-endpoint,AI Gateway - API Runtime Endpoint (handles API traffic through DataPower),16h
ai-gateway-gateway-manager,apic,gateway,ai-gateway,ai-rgwd-apic,ai-rgwd-apic.demo01.mea-presales.org,ai-gateway-datapower,3000,ai-gateway-manager-endpoint,AI Gateway - Gateway Manager UI/API (DataPower management interface),16h
analytics-ai-endpoint,apic,analytics,analytics,ai-apic,ai-apic.demo01.mea-presales.org,analytics-mtls-gw,4443,analytics-ai-endpoint,Analytics - AI Ingestion Endpoint (receives analytics data from AI Gateway via mTLS),7d12h
devportal-devportal-admin,apic,devportal,devportal,admin-devportal-apic,admin-devportal-apic.demo01.mea-presales.org,devportal-proxy,4443,devportal-admin-endpoint,Developer Portal - Admin Interface (Drupal admin for portal site management),16h
devportal-devportal-web,apic,devportal,devportal,devportal-apic,devportal-apic.demo01.mea-presales.org,devportal-devportal,8443,devportal-ui-endpoint,Developer Portal - Web UI (public-facing API catalog for consumers),16h
gwv6-gateway,apic,gateway,gwv6,rgw-apic,rgw-apic.demo01.mea-presales.org,gwv6-datapower,9443,gwv6-endpoint,Gateway v6 - API Runtime Endpoint (handles API traffic through DataPower v6),7d12h
gwv6-gateway-manager,apic,gateway,gwv6,rgwd-apic,rgwd-apic.demo01.mea-presales.org,gwv6-datapower,3000,gwv6-manager-endpoint,Gateway v6 - Gateway Manager UI/API (DataPower v6 management interface),7d12h
management-admin,apic,management,management,admin-apic,admin-apic.demo01.mea-presales.org,management-juhu,2005,cm-endpoint,Management - Cloud Admin UI (Cloud Manager for platform administration),7d12h
management-api-manager,apic,management,management,manager-apic,manager-apic.demo01.mea-presales.org,management-juhu,2006,apim-endpoint,Management - API Manager UI (for API providers to manage APIs and products),7d12h
management-consumer-api,apic,management,management,consumer-apic,consumer-apic.demo01.mea-presales.org,management-juhu,2001,consumer-endpoint,Management - Consumer API (REST API used by Developer Portal for consumer operations),7d12h
management-consumer-catalog,apic,management,management,consumer-catalog-apic,consumer-catalog-apic.demo01.mea-presales.org,management-juhu,2013,consumer-catalog-endpoint,Management - Consumer Catalog API (catalog-scoped consumer API endpoint),7d12h
management-platform-api,apic,management,management,api-apic,api-apic.demo01.mea-presales.org,management-juhu,2000,api-endpoint,Management - Platform API (admin automation REST API for platform-level operations),7d12h
nanogw-mgmt-endpoint,apic,nanogateway,nanogw,nanogw.apic,nanogw.apic.demo01.mea-presales.org,default404,4443,nanogw-endpoint,NanoGateway - Management Endpoint (registration endpoint for NanoGateway cluster),2d10h
wmapigw-gateway-endpoint,apic,wmapigateway,wmapigw,wmapigw.apic,wmapigw.apic.demo01.mea-presales.org,wmapigw-apigateway,5543,wmapigw-gateway-endpoint,webMethods API Gateway - API Runtime Endpoint (handles API traffic through webMethods gateway),2d10h
wmapigw-mgmt-endpoint,apic,wmapigateway,wmapigw,wmapigw-ui.apic,wmapigw-ui.apic.demo01.mea-presales.org,wmapigw-proxy,4443,wmapigw-mgmt-endpoint,webMethods API Gateway - Management UI/Proxy Endpoint (admin interface for webMethods gateway),2d10h
